Jahr;Dokument;Datum;Linke;CDU/CSU;Dokumentnr;Titel
2011;Plenarprotokoll 17/90;10.02.2011;Ulla Jelpke;Reinhard Grindel;17/90;"Einheitlichen EU-Flüchtlingsschutz garantieren; Für ein offenes, rechtsstaatliches und gerechtes europäisches Asylsystem"
2011;Plenarprotokoll 17/96;17.03.2011;Ulla Jelpke;Helmut Brandt;17/96;Für wirksamen Rechtsschutz im Asylverfahren – Konsequenzen aus der Entscheidung des Europäischen Gerichtshofs für Menschenrechte ziehen
2011;Plenarprotokoll 17/104;13.04.2011;Ulla Jelpke;Helmut Brandt, Stephan Mayer;17/149;Menschenwürde ist nicht verhandelbar - Bedingungen in griechischen Flüchtlingslagern sofort verbessern
2011;;07.07.2011;Ulla Jelpke;Dr. Egon Jüttner, Michael Frieser;17/120;60 Jahre Genfer Flüchtlingskonvention - Magna Charta des internationalen Flüchtlingsschutzes umsetzen und fortentwickeln
2011;;13.04.2011;Ulla Jelpke;Dr. Hans-Peter Uhl, Reinhard Grindel, Hartwig Fischer, Arnold Vaatz;17/104;Aktuelle Stunde zu den Antworten der Bundesregierung auf die dringliche Frage 5 auf Drucksache 17/5468 Thema: Aufnahme von vom UNHCR anerkannten Flüchtlingen aus Libyen in Deutschland
2012;Plenarprotokoll 17/214;13.12.2012;Wolfgang Gehrcke;Joachim Hörster, Dr. Wolfgang Götzer;17/214;Sofortige humanitäre Hilfe für Syrien leisten - Diplomatische Verhandlungslösung für den Konflikt fördern
2012;Plenarprotokoll 17/155;26.01.2012;Ulla Jelpke;Michael Frieser;17/155;Abschiebestopp und Bleiberecht für Flüchtlinge aus Syrien
2012;;07.11.2012;Ulla Jelpke, Halina Wawzyniak;Dr. Peter Tauber, Michael Frieser, Reinhard Grindel;17/203;Haltung der Bundesregierung zu Residenzpflicht und Sondergesetzen für Flüchtlinge sowie Asylbewerberinnen und Asylbewerber
2012;;19.01.2012;Diana Golze;Eckhard Pols, Dorothee Bär;17/152;Die UN-Kinderrechtskonvention bei Flüchtlingskindern anwenden - Die Bundesländer in die Pflicht nehmen
2012;;20.01.2012;Wolfgang Gehrcke;Dr. Thomas Feist;17/153;Das Regime in Syrien international isolieren
2013;Plenarprotokoll 17/231;21.03.2013;Ulla Jelpke;Reinhard Grindel;17/231;Syrische Flüchtlinge schützen
2013;Plenarprotokoll 17/238;26.04.2013;Ulla Jelpke;Michael Frieser;17/238;Die Menschenwürde von Flüchtlingen ist migrationspolitisch nicht relativierbar – Konsequenzen aus dem Urteil des Bundesverfassungsgerichts zum Asylbewerberleistungsgesetz ziehen
2014;Plenarprotokoll 18/46;03.07.2014;Ulla Jelpke;Nina Warken, Andrea Lindholz;18/46;Für eine schnelle und unbürokratische Aufnahme syrischer Flüchtlinge in Deutschland und in der EU
2014;Plenarprotokoll 18/46;03.07.2014;Ulla Jelpke;Nina Warken, Andrea Lindholz;18/46;Gesetzes zur Einstufung weiterer Staaten als sichere Herkunftsstaaten und zur Erleichterung des Arbeitsmarktzugangs für Asylbewerber und geduldete Ausländer
2014;Plenarprotokoll 18/33;08.05.2014;Ulla Jelpke, Annette Groth;Philipp Mißfelder, Andrea Lindholz;18/33;Hilfe für die Flüchtlinge aus Syrien – Unterstützung für die Nachbarstaaten
2014;;03.04.2014;Ulla Jelpke;Andrea Lindholz, Olav Gutting;18/26;Kontoeröffnungen für Flüchtlinge ermöglichen
2014;;04.12.2014;Ulla Jelpke, Petra Pau;Martin Patzelt, Erika Steinbach, Andrea Lindholz, Nina Warken;18/73;Solidarität zeigen - Aufnahme von syrischen und irakischen Flüchtlingen ausweiten
