Jahr;Dokumentnr;Name;Partei;Thema;Titel;Text;;;;;;;;
2011;17/104;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;Aufnahme von vom UNHCR anerkannten Flüchtlingen aus Libyen in Deutschland;Herr Präsident! Meine Damen und Herren! Die Horrorbilder der Flüchtlingsboote aus Nordafrika und insbesondere aus Libyen, die hier schon beschrieben wurden, kennen wir alle. Ich möchte betonen, dass inzwischen mehrere Hundert Menschen dabei ums Leben gekommen sind. Erst am letzten Wochenende ist ein Boot mit 170 Menschen an Bord gesunken;;;;;;;;
2011;17/104;Dr. Hans-Peter Uhl;CDU/CSU;Flüchtlingspolitik;Aufnahme von vom UNHCR anerkannten Flüchtlingen aus Libyen in Deutschland;Herr Präsident! Meine verehrten Kolleginnen und Kollegen! Es ist richtig: Wir waren in Tripolis und haben uns ein Flüchtlingslager angeschaut. Es ist richtig, dass autokratische Regierungen in der arabischen Welt bekämpft werden - sicher zu Recht bekämpft werden - und vielleicht durch andere Regierungen, von denen wir noch nicht wissen, wie sie sich entwickeln werden, abgelöst werden. Es ist richtig, dass deswegen die Migrationsströme in großem Stil zunehmen werden. Die Frage ist: Wie reagieren wir darauf? Was die Linke will, haben wir gerade gehört. Wir sollen die Tore großzügig aufmachen nach dem Motto: Macht hoch die Tür, die Tor macht weit! Sie sagten: „Wir müssen helfen“ und sprachen von Humanität und Solidarität. (Ulla Jelpke [DIE LINKE]: Ja! Genau das!) Es sei doch lächerlich, diesen Menschen hier in Deutschland keine Arbeit zu geben. (Beifall der Abg. Ulla Jelpke [DIE LINKE] -Dr. Dagmar Enkelmann [DIE LINKE]: Das wäre übrigens christlich!) Es ist gut, dass die Integrationsministerin gerade gekommen ist. Die Große Koalition hat nämlich eine Ministerin berufen, die nur eine Aufgabe hat: die Fehlentwicklungen jahrzehntelanger massenhafter falscherZuwanderung nachträglich zu reparieren. Das ist der Punkt. (Beifall bei der CDU/CSU und der FDP) Wer sieht, dass wir Hunderttausende von Menschen durch Alphabetisierungskurse schleppen (Patrick Döring [FDP]: Teure Alphabetisierungskurse!) - die Kosten belaufen sich auf 218 Millionen Euro im Jahr -, und wer die Flüchtlinge aus Afrika sieht, die in den Lagern dort warten und natürlich gerne zu uns kämen, wenn man sie ließe, der weiß, dass wir uns auf diese Weise das nächste Massenproblem verschaffen würden. Wir reden in diesem Haus ununterbrochen davon, was wir brauchen: hochqualifizierte Fachkräfte für unsere Wirtschaft. Schauen Sie sich die Flüchtlinge doch einmal an! Es sind Analphabeten und ungelernte Hilfsarbeiter. (Hans-Christian Ströbele [BÜNDNIS 90/DIE GRÜNEN]: Ach! Haben Sie mit denen gesprochen? - Memet Kilic [BÜNDNIS 90/DIE GRÜNEN]: Woher wissen Sie das? Haben Sie da Überprüfungen vorgenommen?) - Ich rede von den Flüchtlingen im Lager in Tripolis;;;;;;;;
2011;17/104;Reinhard Grindel;CDU/CSU;Flüchtlingspolitik;Aufnahme von vom UNHCR anerkannten Flüchtlingen aus Libyen in Deutschland;Herr Präsident! Liebe Kolleginnen und Kollegen! Herr Kollege Kilic, Sie haben Ihre Rede mit nachdenklichen Worten begonnen. Ich finde es aber unfair, den Bundesinnenminister anzugreifen, obwohl er exakt das Gegenteil von dem gesagt hat, was Sie ihm hier vorgeworfen haben. (Memet Kilic [BÜNDNIS 90/DIE GRÜNEN]: Das stimmt nicht!) Es wäre anständig, zumindest zuzuhören. (Beifall bei der CDU/CSU und der FDP) Frau Kollegin Künast, bei Ihrer Rede habe ich mich an eine andere Rede erinnert, die Sie im Rahmen einer Aktuellen Stunde gehalten haben, in der es um Integration ging. Sie haben damals nicht zu Unrecht allen Bundesregierungen vorgeworfen, dass sie keine hinreichenden Maßnahmen für die Integration getroffen hätten, dass es Integrationsprobleme gebe und dass wir kraftvoll diejenigen ausländischen Mitbürger, die bei uns sind, integrieren müssten. Glauben Sie ernsthaft, dass wir die Integration in Deutschland erleichtern, wenn wir für eine völlig ungesteuerte Zuwanderung zusätzlicher Ausländer in unser Land sorgen würden? Ich glaube das nicht. Den hier lebenden Ausländern würden wir einen Tort an-tun, wenn wir so vorgehen würden, und die Integrationsprobleme würden dadurch nicht gelöst werden. (Beifall bei der CDU/CSU und der FDP -Wolfgang Wieland [BÜNDNIS 90/DIE GRÜ-NEN]: Darum geht es doch gar nicht! -Gegenruf des Abg. Arnold Vaatz [CDU/CSU]: Doch!) Es ist mehrfach davon gesprochen worden, wir würden uns abschotten und es gebe keine Lastenverteilung. Wir haben im Jahr 2010 in der Europäischen Union 250 000 Asylbewerber gehabt. Knapp 50 000 davon, jeder fünfte, ist nach Deutschland gekommen, er wird hier anständig untergebracht und bekommt ein faires Asylverfahren. (Zuruf von der LINKEN: Stimmt doch gar nicht! Sie sind doch nicht anständig untergebracht!) Angesichts von knapp 50 000 Asylbewerbern zu sagen, wir als Deutsche würden uns abschotten und unsere gerechte Last im Rahmen der EU nicht tragen, ist mit den Zahlen, um die es hier geht, nicht zu vereinbaren. Das ist ein falscher Vorwurf. (Beifall bei der CDU/CSU und der FDP -Memet Kilic [BÜNDNIS 90/DIE GRÜNEN]: Was stellen Sie sich vor?) Wir müssen auch einmal differenzieren, über welche Flüchtlinge wir reden. Es gibt die Gruppe der politischen Flüchtlinge aus Libyen und der Flüchtlinge aus ethnischen Gründen aus Somalia und Eritrea, die sich vor allen Dingen in Malta aufhalten. Wir werden unsere Verantwortung gegenüber den Freunden in Malta wahrnehmen. Der Bundesinnenminister hat das vorgetragen. Durch sein Vorbild haben andere Innenminister in eine europäische Lastenverteilung eingewilligt. Ich schließe auch nicht aus, dass wir als Deutsche uns an humanitären Aktionen beteiligen, die auf den Personenkreis in Libyen abzielen. Auch wenn man die Vergangenheit betrachtet, muss man feststellen: Wir haben Flüchtlinge aus dem Iran aufgenommen, wir haben in großem Umfang Flüchtlinge aus dem Irak aufgenommen, und wir haben in der Vergangenheit nun wirklich unseren Beitrag geleistet, als es darum ging, Flüchtlinge vom Balkan aufzunehmen. Insofern ist der Hinweis auf Lastenverteilung angesichts der Zahlen wirklich nicht berechtigt. Auch wir haben dieses Wort von der Lastenverteilung in der politischen Diskussion gebraucht, Frau Künast. Damals haben wir binnen kürzester Frist 350 000 Flüchtlinge alleine aus Bosnien aufgenommen. Die Situation damals, gerade für unsere Kommunen und Städte, war eine völlig andere als die, die heute in Italien existiert. (Beifall bei der CDU/CSU und der FDP -Arnold Vaatz [CDU/CSU]: Wenn wir von Lastenverteilung gesprochen haben, hat man uns dafür kritisiert!) Eine zweite Gruppe sind die Arbeitsflüchtlinge aus Tunesien, die zum überwiegenden Teil gar keinen Asylantrag gestellt haben. Eine dritte Gruppe sind die Armutsflüchtlinge aus afrikanischen Ländern wie dem Sudan, dem Tschad, aus Sierra Leone und vielen anderen Ländern. Letztere sind - die Kollegin Griese hat uns inzwischen verlassen;;;;;;;;
2011;17/104;Hartwig Fischer;CDU/CSU;Flüchtlingspolitik;Aufnahme von vom UNHCR anerkannten Flüchtlingen aus Libyen in Deutschland;Herr Präsident! Liebe Kolleginnen und Kollegen! Ich finde es einigermaßen enttäuschend, wenn wir bei einem solch ernsten Thema, bei dem es um Menschenleben, um Überleben geht, (Zuruf von der LINKEN: Nicht wirklich helfen können!) keine Alternativen aus der Opposition aufgezeigt bekommen. (Daniela Kolbe [Leipzig] [SPD]: Was? -Rüdiger Veit [SPD]: Wo waren Sie in der letzten Stunde? - Memet Kilic [BÜNDNIS 90/ DIE GRÜNEN]: Haben wir!) Am 17. Dezember 2010 begann die Jasmin-Revolution in Tunesien, am 25. Januar 2011 in Ägypten, im Februar in Libyen. Wir reden heute über die Flüchtlingsströme, was auch notwendig ist;;;;;;;;
2011;17/104;Arnold Vaatz;CDU/CSU;Flüchtlingspolitik;Aufnahme von vom UNHCR anerkannten Flüchtlingen aus Libyen in Deutschland;Herr Präsident! Meine Damen und Herren! Ich gehe davon aus, dass kein Einziger in diesem Saal einem Menschen, der in Not, in Lebensgefahr geraten ist, seine Hilfe verweigern oder dafür plädieren wird, dass das getan wird. Das unterstelle ich persönlich keinem hier im Saal, und ich wünsche gleichzeitig, dass das auch mir und meiner Regierung nicht unterstellt wird. (Beifall bei der CDU/CSU und der FDP) Worüber wir hier reden, ist das, was dem folgt, nachdem die Elementarvorsorge bereits geleistet worden ist: über die Entscheidung, wie es mit den in Not geratenen Menschen zukünftig weitergeht. Das ist eine andere Stufe der Diskussion. Ich wünsche, dass wir diese beiden Dinge sauber voneinander trennen und unterscheiden. (Beifall bei Abgeordneten der CDU/CSU und der FDP) Ich habe die Debatte von Anfang an verfolgt, auch die heutige Fragestunde. In mir ist der Wunsch aufgekommen, dass Sie, meine Damen und Herren von der Opposition, einen Bruchteil der Energie, die Sie für Ihre Kritik an der Bundesregierung verwendet haben, darauf verwenden, diejenigen mit Ihrer Kritik zu bedenken, die Verhältnisse geschaffen haben, die zur Folge haben, dass Menschen flüchten. (Ulla Jelpke [DIE LINKE]: Das wäre ja auch gegen die Bundesregierung! Denn die habt ihr ja unterstützt!) Die ganze Sache wird dann unaufrichtig, wenn sie den Schwerpunkt Ihrer Kritik auf diejenigen lenken, die helfen wollen, und nicht auf diejenigen, die den Notstand verursacht haben. (Beifall bei der CDU/CSU sowie bei Abgeordneten der FDP - Dr. Eva Högl [SPD]: Das ist aber nicht gemacht worden! - Renate Künast [BÜNDNIS 90/DIE GRÜNEN]: Das ist doch Quatsch, Herr Vaatz! Das ist unter Ihrem Niveau! Wir haben doch nicht Berlusconi unterstützt! Vielleicht waren Sie das!) - Sie haben die Bundesregierung ganz entschieden kritisiert. Das habe ich doch gehört. Oder war das nicht so gemeint? Haben Sie sich vielleicht versprochen, Frau Künast? (Renate Künast [BÜNDNIS 90/DIE GRÜ-NEN]: Wir sind ein freies Land! Aber ich habe mich auch nicht mit Gaddafi getroffen! Ich habe mich mit dem nicht getroffen! -Gegenruf des Abg. Manfred Grund [CDU/CSU]) Der Kollege Veit und die Kollegin Kolbe haben berechtigterweise darauf hingewiesen, dass es unannehmbar ist, wie die Regierung Berlusconi diesen Fall inszeniert, um die Flüchtlinge nach Möglichkeit schnell loszuwerden. Ich sage Ihnen in aller Deutlichkeit: Das verurteile ich auch, und ich gehe davon aus, dass die meisten aus meiner Fraktion, aus unserer Koalition genauso denken. Ich verstehe aber nicht, liebe Kollegen, dass Sie einerseits das Verhalten der Regierung Berlusconi verurteilen und andererseits von der Bundesregierung verlangen, genau dieser Regierung Berlusconi auf den Leim zu gehen. (Reinhard Grindel [CDU/CSU]: So ist es!) Das verstehe ich überhaupt nicht, (Rüdiger Veit [SPD]: Haben Sie nicht zugehört?) weil Sie nämlich dadurch ein Signal nach Italien senden, sodass man dort sagen kann: Freunde in Europa, was wollt ihr denn? Wir handeln doch genau richtig. Schaut nach Deutschland! Lest die Debattenbeiträge der Opposition im Bundestag! (Renate Künast [BÜNDNIS 90/DIE GRÜNEN]: Ich denke, die sind Analphabeten!) - Ich rede von Italienern. Im Übrigen teile ich nicht die Meinung, dass alle Flüchtlinge Analphabeten sind. Das habe ich nicht gesagt, und ich wünsche auch nicht, dass mir Behauptungen, die ich nicht aufgestellt habe, vorgeworfen werden. (Beifall bei der CDU/CSU sowie bei Abgeordneten der FDP - Manfred Grund [CDU/CSU]: Das ist der Stil dieser Debatte!) Das ist nie geäußert worden. Dass es unter den Flüchtlingen Menschen gibt, die Analphabeten sind, dürften auch Sie, Frau Künast, nicht bestreiten. Oder doch? In Italien kann die Regierung also sehr gut auf diese Debatte verweisen und sagen: Freunde, die gesamte Opposition in Deutschland unterstützt unsere Bemühungen, die Flüchtlinge nach Möglichkeit nach Norden weiterzuleiten. (Rüdiger Veit [SPD]: Das hat kein Mensch gesagt! - Gegenruf des Abg. Reinhard Grindel [CDU/CSU]: Natürlich!) Das wird man genau in dieser Weise auslegen, und Sie tragen dazu bei. (Renate Künast [BÜNDNIS 90/DIE GRÜ-NEN]: Das ist doch unter Ihrem Niveau! Sie haben doch mal für Freiheit gekämpft! Oder nicht?) Als Nächstes komme ich zu der Frage: Was ist Solidarität? Das ist der Punkt, auf den es mir ganz besonders ankommt. Meine Damen und Herren, ich halte Ihre Diskussion über Solidarität für unaufrichtig. Wir haben auf dem Höhepunkt der Balkankrise - ich war frisch im Bundestag - ausführlich darüber diskutiert, wie wir unsangesichts des Ansturms von Flüchtlingen aus dieser Region verhalten. Wir haben damals gesagt und sagen auch heute, dass wir für eine solidarische europäische Lösung sind. Damals ist uns von dieser Opposition vorgeworfen worden, wir wollten auf diese Weise versuchen, den Druck zulasten von anderen loszuwerden;;;;;;;;
2011;17/120;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;60 Jahre Genfer Flüchtlingskonvention - Magna Charta des internationalen Flüchtlingsschutzes umsetzen und fortentwickeln;;;;;;;;;
2011;17/120;Dr. Egon Jüttner;CDU/CSU;Flüchtlingspolitik;60 Jahre Genfer Flüchtlingskonvention - Magna Charta des internationalen Flüchtlingsschutzes umsetzen und fortentwickeln;;;;;;;;;
2011;17/120;Michael Frieser;CDU/CSU;Flüchtlingspolitik;60 Jahre Genfer Flüchtlingskonvention - Magna Charta des internationalen Flüchtlingsschutzes umsetzen und fortentwickeln;;;;;;;;;
2011;17/149;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;Menschenwürde ist nicht verhandelbar - Bedingungen in griechischen Flüchtlingslagern sofort verbessern;;;;;;;;;
2011;17/149;Helmut Brandt;CDU/CSU;Flüchtlingspolitik;Menschenwürde ist nicht verhandelbar - Bedingungen in griechischen Flüchtlingslagern sofort verbessern;;;;;;;;;
