Jahr;Dokumentnr;Name;Partei;Thema;Titel
2011;17/104;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;Aufnahme von vom UNHCR anerkannten Flüchtlingen aus Libyen in Deutschland
2011;17/104;Dr. Hans-Peter Uhl;CDU/CSU;Flüchtlingspolitik;Aufnahme von vom UNHCR anerkannten Flüchtlingen aus Libyen in Deutschland
2011;17/104;Reinhard Grindel;CDU/CSU;Flüchtlingspolitik;Aufnahme von vom UNHCR anerkannten Flüchtlingen aus Libyen in Deutschland
2011;17/104;Hartwig Fischer;CDU/CSU;Flüchtlingspolitik;Aufnahme von vom UNHCR anerkannten Flüchtlingen aus Libyen in Deutschland
2011;17/104;Arnold Vaatz;CDU/CSU;Flüchtlingspolitik;Aufnahme von vom UNHCR anerkannten Flüchtlingen aus Libyen in Deutschland
2011;17/120;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;60 Jahre Genfer Flüchtlingskonvention - Magna Charta des internationalen Flüchtlingsschutzes umsetzen und fortentwickeln
2011;17/120;Dr. Egon Jüttner;CDU/CSU;Flüchtlingspolitik;60 Jahre Genfer Flüchtlingskonvention - Magna Charta des internationalen Flüchtlingsschutzes umsetzen und fortentwickeln
2011;17/120;Michael Frieser;CDU/CSU;Flüchtlingspolitik;60 Jahre Genfer Flüchtlingskonvention - Magna Charta des internationalen Flüchtlingsschutzes umsetzen und fortentwickeln
2011;17/149;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;Menschenwürde ist nicht verhandelbar - Bedingungen in griechischen Flüchtlingslagern sofort verbessern
2011;17/149;Helmut Brandt;CDU/CSU;Flüchtlingspolitik;Menschenwürde ist nicht verhandelbar - Bedingungen in griechischen Flüchtlingslagern sofort verbessern
2011;17/149;Stephan Mayer;CDU/CSU;Flüchtlingspolitik;Menschenwürde ist nicht verhandelbar - Bedingungen in griechischen Flüchtlingslagern sofort verbessern
2011;17/90;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;Flüchtlingsschutz garantieren
2011;17/90;Reinhard Grindel;CDU/CSU;Flüchtlingspolitik;Flüchtlingsschutz garantieren
2011;17/96;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;Für wirksamen Rechtsschutz im Asylverfahren - Konsequenzen aus der Entscheidung des Europäischen Gerichtshofs für Menschenrechte ziehen
2011;17/96;Helmut Brandt;CDU/CSU;Flüchtlingspolitik;Für wirksamen Rechtsschutz im Asylverfahren - Konsequenzen aus der Entscheidung des Europäischen Gerichtshofs für Menschenrechte ziehen
2011;17/150;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Zwanzig Jahre Rentenüberleitung - Perspektiven für die Schaffung eines einheitlichen Rentenrechts in Deutschland
2011;17/150;Peter Weiß;CDU/CSU;Rentenpolitik;Zwanzig Jahre Rentenüberleitung - Perspektiven für die Schaffung eines einheitlichen Rentenrechts in Deutschland
2011;17/150;Eckhardt Rehberg;CDU/CSU;Rentenpolitik;Zwanzig Jahre Rentenüberleitung - Perspektiven für die Schaffung eines einheitlichen Rentenrechts in Deutschland
2011;17/150;Maria Michalk;CDU/CSU;Rentenpolitik;Zwanzig Jahre Rentenüberleitung - Perspektiven für die Schaffung eines einheitlichen Rentenrechts in Deutschland
2011;17/150;Arnold Vaatz;CDU/CSU;Rentenpolitik;Zwanzig Jahre Rentenüberleitung - Perspektiven für die Schaffung eines einheitlichen Rentenrechts in Deutschland
2011;17/150;Dr. Martina Bunge;DIE LINKE;Rentenpolitik;Zwanzig Jahre Rentenüberleitung - Perspektiven für die Schaffung eines einheitlichen Rentenrechts in Deutschland
2011;17/149;Siegfried Kauder;CDU/CSU;Rentenpolitik;Rente erst ab 67 - Risiken für Jung und Alt
2011;17/149;Frank Heinrich;CDU/CSU;Rentenpolitik;Rente erst ab 67 - Risiken für Jung und Alt
2011;17/149;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Rente erst ab 67 - Risiken für Jung und Alt
2011;17/149;Peter Weiß;CDU/CSU;Rentenpolitik;Rente erst ab 67 - Risiken für Jung und Alt
2011;17/149;Max Straubinger;CDU/CSU;Rentenpolitik;Rente erst ab 67 - Risiken für Jung und Alt
2011;17/149;Karl Schiewerling;CDU/CSU;Rentenpolitik;Rente erst ab 67 - Risiken für Jung und Alt
2011;17/149;Klaus Ernst;DIE LINKE;Rentenpolitik;Rente erst ab 67 - Risiken für Jung und Alt
2011;17/130;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Die finanzielle Deckelung von Reha-Leistungen in der gesetzlichen Rentenversicherung aufheben - Reha am Bedarf ausrichten
2011;17/130;Peter Weiß;CDU/CSU;Rentenpolitik;Die finanzielle Deckelung von Reha-Leistungen in der gesetzlichen Rentenversicherung aufheben - Reha am Bedarf ausrichten
2011;17/111;Ulrich Lange;CDU/CSU;Rentenpolitik;Gleiches Rentenrecht in Ost und West
2011;17/111;Heike Brehmer;CDU/CSU;Rentenpolitik;Gleiches Rentenrecht in Ost und West
2011;17/111;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Gleiches Rentenrecht in Ost und West
2011;17/111;Frank Heinrich;CDU/CSU;Rentenpolitik;Gleiches Rentenrecht in Ost und West
2011;17/111;Frank Heinrich;CDU/CSU;Rentenpolitik;Gesetz zur Änderung des Sechsten Buches Sozialgesetzbuch und anderer Gesetze
2011;17/111;Max Straubinger;CDU/CSU;Rentenpolitik;Gesetz zur Änderung des Sechsten Buches Sozialgesetzbuch und anderer Gesetze
2011;17/111;Paul Lehrieder;CDU/CSU;Rentenpolitik;Gesetz zur Änderung des Sechsten Buches Sozialgesetzbuch und anderer Gesetze
2011;17/111;Peter Weiß;CDU/CSU;Rentenpolitik;Gesetz zur Änderung des Sechsten Buches Sozialgesetzbuch und anderer Gesetze
2011;17/111;Matthias W. Birkwald;DIE LINKE;Rentenpolitik;Gesetz zur Änderung des Sechsten Buches Sozialgesetzbuch und anderer Gesetze
2011;17/111;Karl Schiewerling;CDU/CSU;Rentenpolitik;Gesetz zur Änderung des Sechsten Buches Sozialgesetzbuch und anderer Gesetze
2011;17/96;Max Straubinger;CDU/CSU;Rentenpolitik;Für eine gerechte Angleichung der Renten in Ostdeutschland
2011;17/96;Frank Heinrich;CDU/CSU;Rentenpolitik;Für eine gerechte Angleichung der Renten in Ostdeutschland
2011;17/96;Roland Claus;DIE LINKE;Rentenpolitik;Für eine gerechte Angleichung der Renten in Ostdeutschland
2011;17/93;Maria Michalk;CDU/CSU;Rentenpolitik;Korrektur der Überleitung von DDR-Alterssicherungen in bundesdeutsches Recht
2011;17/93;Frank Heinrich;CDU/CSU;Rentenpolitik;Korrektur der Überleitung von DDR-Alterssicherungen in bundesdeutsches Recht
2011;17/93;Dr. Martina Bunge;DIE LINKE;Rentenpolitik;Korrektur der Überleitung von DDR-Alterssicherungen in bundesdeutsches Recht
2011;17/93;Peter Weiß;CDU/CSU;Rentenpolitik;Korrektur der Überleitung von DDR-Alterssicherungen in bundesdeutsches Recht
2011;17/93;Dr. Gregor Gysi;DIE LINKE;Rentenpolitik;Korrektur der Überleitung von DDR-Alterssicherungen in bundesdeutsches Recht
2011;17/93;Eckhardt Rehberg;CDU/CSU;Rentenpolitik;Korrektur der Überleitung von DDR-Alterssicherungen in bundesdeutsches Recht
2011;17/127;Dr. Petra Sitte;DIE LINKE;Arbeitsmarktpolitik;Personaloffensive für den wissenschaftlichen Nachwuchs starten
2011;17/127;Michael Kretschmer;CDU/CSU;Arbeitsmarktpolitik;Personaloffensive für den wissenschaftlichen Nachwuchs starten
2011;17/127;Albert Rupprecht;CDU/CSU;Arbeitsmarktpolitik;Personaloffensive für den wissenschaftlichen Nachwuchs starten
2011;17/84;Dr. Petra Sitte;DIE LINKE;Arbeitsmarktpolitik;Wissenschaft als Beruf attraktiv gestalten - Prekarisierung des akademischen Mittelbaus beenden
2011;17/84;Tankred Schipanski;CDU/CSU;Arbeitsmarktpolitik;Wissenschaft als Beruf attraktiv gestalten - Prekarisierung des akademischen Mittelbaus beenden
2011;17/84;Monika Grütters;CDU/CSU;Arbeitsmarktpolitik;Wissenschaft als Beruf attraktiv gestalten - Prekarisierung des akademischen Mittelbaus beenden
2011;17/84;Dr. Petra Sitte;DIE LINKE;Arbeitsmarktpolitik;Einen Pakt für den wissenschaftlichen Nachwuchs und zukunftsfähige Personalstrukturen an den Hochschulen initiieren
2011;17/84;Tankred Schipanski;CDU/CSU;Arbeitsmarktpolitik;Einen Pakt für den wissenschaftlichen Nachwuchs und zukunftsfähige Personalstrukturen an den Hochschulen initiieren
2011;17/84;Monika Grütters;CDU/CSU;Arbeitsmarktpolitik;Einen Pakt für den wissenschaftlichen Nachwuchs und zukunftsfähige Personalstrukturen an den Hochschulen initiieren
2011;17/120;Steffen Bockhahn;DIE LINKE;Arbeitsmarktpolitik;Anhaltend positive Entwicklung auf dem deutschen Arbeitsmarkt
2011;17/120;Volker Kauder;CDU/CSU;Arbeitsmarktpolitik;Anhaltend positive Entwicklung auf dem deutschen Arbeitsmarkt
2011;17/120;Gerda Hasselfeldt;CDU/CSU;Arbeitsmarktpolitik;Anhaltend positive Entwicklung auf dem deutschen Arbeitsmarkt
2011;17/120;Karl Schiewerling;CDU/CSU;Arbeitsmarktpolitik;Anhaltend positive Entwicklung auf dem deutschen Arbeitsmarkt
2011;17/120;Max Straubinger;CDU/CSU;Arbeitsmarktpolitik;Anhaltend positive Entwicklung auf dem deutschen Arbeitsmarkt
2011;17/102;Matthias W. Birkwald;DIE LINKE;Arbeitsmarktpolitik;Integration Älterer in den Arbeitsmarkt verbessern
2011;17/102;Peter Weiß;CDU/CSU;Arbeitsmarktpolitik;Integration Älterer in den Arbeitsmarkt verbessern
2011;17/102;Ullrich Lange;CDU/CSU;Arbeitsmarktpolitik;Integration Älterer in den Arbeitsmarkt verbessern
2011;17/128;Karl Schiewerling;CDU/CSU;Arbeitsmarktpolitik;Gesetzes zur Verbesserung der Eingliederungschancen am Arbeitsmarkt
2011;17/128;Max Straubinger;CDU/CSU;Arbeitsmarktpolitik;Gesetzes zur Verbesserung der Eingliederungschancen am Arbeitsmarkt
2011;17/128;Dr. Matthias Zimmer;CDU/CSU;Arbeitsmarktpolitik;Gesetzes zur Verbesserung der Eingliederungschancen am Arbeitsmarkt
2011;17/128;Sabine Zimmermann;DIE LINKE;Arbeitsmarktpolitik;Gesetzes zur Verbesserung der Eingliederungschancen am Arbeitsmarkt
2012;17/152;Diana Golze;DIE LINKE;Flüchtlingspolitik;Die UN-Kinderrechtskonvention bei Flüchtlingskindern anwenden - Die Bundesländer in die Pflicht nehmen
2012;17/152;Eckhard Pols;CDU/CSU;Flüchtlingspolitik;Die UN-Kinderrechtskonvention bei Flüchtlingskindern anwenden - Die Bundesländer in die Pflicht nehmen
2012;17/152;Dorothee Bär;CDU/CSU;Flüchtlingspolitik;Die UN-Kinderrechtskonvention bei Flüchtlingskindern anwenden - Die Bundesländer in die Pflicht nehmen
2012;17/153;Wolfgang Gehrcke;DIE LINKE;Flüchtlingspolitik;Das Regime in Syrien international isolieren
2012;17/153;Dr. Thomas Feist;CDU/CSU;Flüchtlingspolitik;Das Regime in Syrien international isolieren
2012;17/155;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;Abschiebestopp und Bleiberecht für Flüchtlinge aus Syrien
2012;17/155;Michael Frieser;CDU/CSU;Flüchtlingspolitik;Abschiebestopp und Bleiberecht für Flüchtlinge aus Syrien
2012;17/203;Ulla Jelpke;DIE LINKE;Flüchtlingspolitik;Haltung der Bundesregierung zu Residenzpflicht und Sondergesetzen für Flüchtlinge sowie Asylbewerberinnen und Asylbewerber
2012;17/203;Halina Wawzyniak;DIE LINKE;Flüchtlingspolitik;Haltung der Bundesregierung zu Residenzpflicht und Sondergesetzen für Flüchtlinge sowie Asylbewerberinnen und Asylbewerber
2012;17/203;Dr. Peter Tauber;CDU/CSU;Flüchtlingspolitik;Haltung der Bundesregierung zu Residenzpflicht und Sondergesetzen für Flüchtlinge sowie Asylbewerberinnen und Asylbewerber
